Week,NASDAQ: (United States)
2015/12/6,22
2015/12/13,25
2015/12/20,17
2015/12/27,18
2016/1/3,24
2016/1/10,31
2016/1/17,30
2016/1/24,31
2016/1/31,28
2016/2/7,30
2016/2/14,23
2016/2/21,25
2016/2/28,23
2016/3/6,26
2016/3/13,20
2016/3/20,22
2016/3/27,21
2016/4/3,22
2016/4/10,20
2016/4/17,23
2016/4/24,22
2016/5/1,24
2016/5/8,23
2016/5/15,18
2016/5/22,21
2016/5/29,19
2016/6/5,20
2016/6/12,20
2016/6/19,32
2016/6/26,30
2016/7/3,17
2016/7/10,24
2016/7/17,24
2016/7/24,25
2016/7/31,25
2016/8/7,20
2016/8/14,20
2016/8/21,19
2016/8/28,17
2016/9/4,17
2016/9/11,21
2016/9/18,24
2016/9/25,22
2016/10/2,21
2016/10/9,19
2016/10/16,21
2016/10/23,22
2016/10/30,23
2016/11/6,53
2016/11/13,32
2016/11/20,22
2016/11/27,24
2016/12/4,24
2016/12/11,26
2016/12/18,21
2016/12/25,19
2017/1/1,25
2017/1/8,24
2017/1/15,23
2017/1/22,28
2017/1/29,30
2017/2/5,26
2017/2/12,28
2017/2/19,25
2017/2/26,33
2017/3/5,28
2017/3/12,26
2017/3/19,26
2017/3/26,27
2017/4/2,28
2017/4/9,24
2017/4/16,24
2017/4/23,31
2017/4/30,30
2017/5/7,28
2017/5/14,29
2017/5/21,26
2017/5/28,23
2017/6/4,31
2017/6/11,33
2017/6/18,30
2017/6/25,35
2017/7/2,28
2017/7/9,27
2017/7/16,28
2017/7/23,34
2017/7/30,36
2017/8/6,30
2017/8/13,29
2017/8/20,26
2017/8/27,25
2017/9/3,23
2017/9/10,30
2017/9/17,27
2017/9/24,28
2017/10/1,26
2017/10/8,28
2017/10/15,31
2017/10/22,32
2017/10/29,31
2017/11/5,32
2017/11/12,33
2017/11/19,24
2017/11/26,41
2017/12/3,38
2017/12/10,31
2017/12/17,35
2017/12/24,26
2017/12/31,33
2018/1/7,35
2018/1/14,32
2018/1/21,37
2018/1/28,38
2018/2/4,68
2018/2/11,39
2018/2/18,32
2018/2/25,40
2018/3/4,40
2018/3/11,37
2018/3/18,41
2018/3/25,44
2018/4/1,46
2018/4/8,37
2018/4/15,35
2018/4/22,38
2018/4/29,34
2018/5/6,37
2018/5/13,34
2018/5/20,32
2018/5/27,27
2018/6/3,38
2018/6/10,36
2018/6/17,38
2018/6/24,40
2018/7/1,29
2018/7/8,36
2018/7/15,34
2018/7/22,48
2018/7/29,43
2018/8/5,33
2018/8/12,37
2018/8/19,34
2018/8/26,43
2018/9/2,34
2018/9/9,34
2018/9/16,34
2018/9/23,37
2018/9/30,36
2018/10/7,54
2018/10/14,43
2018/10/21,49
2018/10/28,44
2018/11/4,39
2018/11/11,37
2018/11/18,32
2018/11/25,37
2018/12/2,43
2018/12/9,35
2018/12/16,47
2018/12/23,45
2018/12/30,37
2019/1/6,37
2019/1/13,37
2019/1/20,36
2019/1/27,36
2019/2/3,34
2019/2/10,35
2019/2/17,29
2019/2/24,37
2019/3/3,32
2019/3/10,34
2019/3/17,33
2019/3/24,35
2019/3/31,41
2019/4/7,31
2019/4/14,30
2019/4/21,39
2019/4/28,37
2019/5/5,41
2019/5/12,40
2019/5/19,35
2019/5/26,29
2019/6/2,39
2019/6/9,33
2019/6/16,32
2019/6/23,32
2019/6/30,26
2019/7/7,34
2019/7/14,33
2019/7/21,35
2019/7/28,35
2019/8/4,44
2019/8/11,45
2019/8/18,36
2019/8/25,35
2019/9/1,24
2019/9/8,36
2019/9/15,33
2019/9/22,33
2019/9/29,29
2019/10/6,31
2019/10/13,29
2019/10/20,34
2019/10/27,30
2019/11/3,32
2019/11/10,31
2019/11/17,29
2019/11/24,25
2019/12/1,28
2019/12/8,30
2019/12/15,33
2019/12/22,33
2019/12/29,31
2020/1/5,39
2020/1/12,41
2020/1/19,32
2020/1/26,39
2020/2/2,40
2020/2/9,42
2020/2/16,36
2020/2/23,78
2020/3/1,67
2020/3/8,100
2020/3/15,94
2020/3/22,76
2020/3/29,51
2020/4/5,45
2020/4/12,54
2020/4/19,50
2020/4/26,47
2020/5/3,49
2020/5/10,49
2020/5/17,50
2020/5/24,44
2020/5/31,56
2020/6/7,81
2020/6/14,52
2020/6/21,57
2020/6/28,49
2020/7/5,62
2020/7/12,68
2020/7/19,72
2020/7/26,61
2020/8/2,63
2020/8/9,65
2020/8/16,62
2020/8/23,64
2020/8/30,81
2020/9/6,74
2020/9/13,68
2020/9/20,71
2020/9/27,64
2020/10/4,54
2020/10/11,62
2020/10/18,49
2020/10/25,62
2020/11/1,58
2020/11/8,76
2020/11/15,62
2020/11/22,48
2020/11/29,58
