Week,Stock market: (United States)
2015/12/6,8
2015/12/13,8
2015/12/20,7
2015/12/27,7
2016/1/3,17
2016/1/10,18
2016/1/17,20
2016/1/24,13
2016/1/31,11
2016/2/7,13
2016/2/14,11
2016/2/21,9
2016/2/28,9
2016/3/6,9
2016/3/13,8
2016/3/20,9
2016/3/27,8
2016/4/3,8
2016/4/10,8
2016/4/17,8
2016/4/24,8
2016/5/1,7
2016/5/8,7
2016/5/15,7
2016/5/22,7
2016/5/29,6
2016/6/5,6
2016/6/12,6
2016/6/19,16
2016/6/26,14
2016/7/3,6
2016/7/10,8
2016/7/17,7
2016/7/24,7
2016/7/31,6
2016/8/7,6
2016/8/14,5
2016/8/21,5
2016/8/28,5
2016/9/4,7
2016/9/11,7
2016/9/18,7
2016/9/25,7
2016/10/2,7
2016/10/9,8
2016/10/16,6
2016/10/23,7
2016/10/30,7
2016/11/6,42
2016/11/13,10
2016/11/20,9
2016/11/27,8
2016/12/4,9
2016/12/11,9
2016/12/18,8
2016/12/25,9
2017/1/1,8
2017/1/8,8
2017/1/15,9
2017/1/22,10
2017/1/29,11
2017/2/5,8
2017/2/12,10
2017/2/19,9
2017/2/26,11
2017/3/5,9
2017/3/12,8
2017/3/19,9
2017/3/26,8
2017/4/2,8
2017/4/9,9
2017/4/16,8
2017/4/23,9
2017/4/30,7
2017/5/7,8
2017/5/14,10
2017/5/21,7
2017/5/28,7
2017/6/4,7
2017/6/11,7
2017/6/18,6
2017/6/25,8
2017/7/2,7
2017/7/9,6
2017/7/16,7
2017/7/23,7
2017/7/30,8
2017/8/6,9
2017/8/13,8
2017/8/20,7
2017/8/27,7
2017/9/3,7
2017/9/10,7
2017/9/17,7
2017/9/24,7
2017/10/1,8
2017/10/8,9
2017/10/15,9
2017/10/22,9
2017/10/29,9
2017/11/5,9
2017/11/12,9
2017/11/19,8
2017/11/26,11
2017/12/3,11
2017/12/10,10
2017/12/17,11
2017/12/24,9
2017/12/31,10
2018/1/7,12
2018/1/14,13
2018/1/21,12
2018/1/28,20
2018/2/4,54
2018/2/11,19
2018/2/18,14
2018/2/25,14
2018/3/4,13
2018/3/11,11
2018/3/18,15
2018/3/25,16
2018/4/1,17
2018/4/8,13
2018/4/15,11
2018/4/22,11
2018/4/29,10
2018/5/6,10
2018/5/13,8
2018/5/20,8
2018/5/27,8
2018/6/3,8
2018/6/10,9
2018/6/17,9
2018/6/24,10
2018/7/1,9
2018/7/8,9
2018/7/15,9
2018/7/22,9
2018/7/29,10
2018/8/5,8
2018/8/12,9
2018/8/19,9
2018/8/26,10
2018/9/2,9
2018/9/9,9
2018/9/16,10
2018/9/23,9
2018/9/30,11
2018/10/7,25
2018/10/14,14
2018/10/21,19
2018/10/28,16
2018/11/4,13
2018/11/11,14
2018/11/18,15
2018/11/25,13
2018/12/2,23
2018/12/9,15
2018/12/16,25
2018/12/23,32
2018/12/30,19
2019/1/6,15
2019/1/13,13
2019/1/20,13
2019/1/27,11
2019/2/3,11
2019/2/10,11
2019/2/17,11
2019/2/24,11
2019/3/3,11
2019/3/10,10
2019/3/17,11
2019/3/24,10
2019/3/31,10
2019/4/7,10
2019/4/14,11
2019/4/21,10
2019/4/28,9
2019/5/5,15
2019/5/12,16
2019/5/19,11
2019/5/26,10
2019/6/2,11
2019/6/9,10
2019/6/16,10
2019/6/23,9
2019/6/30,10
2019/7/7,9
2019/7/14,9
2019/7/21,8
2019/7/28,11
2019/8/4,18
2019/8/11,21
2019/8/18,14
2019/8/25,13
2019/9/1,10
2019/9/8,10
2019/9/15,9
2019/9/22,10
2019/9/29,12
2019/10/6,10
2019/10/13,10
2019/10/20,9
2019/10/27,10
2019/11/3,11
2019/11/10,11
2019/11/17,10
2019/11/24,10
2019/12/1,10
2019/12/8,10
2019/12/15,11
2019/12/22,11
2019/12/29,13
2020/1/5,13
2020/1/12,12
2020/1/19,13
2020/1/26,16
2020/2/2,16
2020/2/9,13
2020/2/16,14
2020/2/23,55
2020/3/1,45
2020/3/8,100
2020/3/15,82
2020/3/22,55
2020/3/29,35
2020/4/5,37
2020/4/12,29
2020/4/19,26
2020/4/26,25
2020/5/3,21
2020/5/10,21
2020/5/17,20
2020/5/24,19
2020/5/31,22
2020/6/7,30
2020/6/14,23
2020/6/21,20
2020/6/28,21
2020/7/5,18
2020/7/12,19
2020/7/19,16
2020/7/26,17
2020/8/2,16
2020/8/9,16
2020/8/16,14
2020/8/23,15
2020/8/30,23
2020/9/6,17
2020/9/13,15
2020/9/20,16
2020/9/27,16
2020/10/4,17
2020/10/11,17
2020/10/18,14
2020/10/25,20
2020/11/1,21
2020/11/8,23
2020/11/15,16
2020/11/22,20
2020/11/29,16
